Name,Type,Description,Path,Code Set,Annotation,Keys
RefId,string,Reference Id for the root object.,organization.RefId,,,PK
senderId,string,Reference Id for the sender.,organization.senderId,,Leave blank,
receiverId,string,Reference Id for the receiver.,organization.receiverId,,Leave blank,
isMulti-state,boolean,Indicates that the business has employees in multiples states subject to reporting.,organization.isMulti-state,false,,
value,string,The identifier.,organization.organizationId.value,,,
issuingAuthority,string,The system or authority that mandates or manages the ids.,organization.organizationId.issuingAuthority,,,
value,string,The identifier.,organization.taxIds[].value,,,
schemeId,string,The identification of the identifier scheme.,organization.taxIds[].schemeId,,,
schemeVersionId,string,The identification of the version of the identifier scheme.,organization.taxIds[].schemeVersionId,,,
schemeAgencyId,string,The identification of the agency that manages the identifier scheme.,organization.taxIds[].schemeAgencyId,,,
description,string,The description of the identifier.,organization.taxIds[].description,,,
schemeLink,string,The URI that identifies where the identification scheme data is located.,organization.taxIds[].schemeLink,,,
agencyUri,string,The URI that identifies where the identification scheme is located.,organization.taxIds[].agencyUri,,,
value,string,The identifier.,organization.industryIdentifiers[].value,,,
schemeId,string,The identification of the identifier scheme.,organization.industryIdentifiers[].schemeId,,,
schemeVersionId,string,The identification of the version of the identifier scheme.,organization.industryIdentifiers[].schemeVersionId,,,
schemeAgencyId,string,The identification of the agency that manages the identifier scheme.,organization.industryIdentifiers[].schemeAgencyId,,,
description,string,The description of the identifier.,organization.industryIdentifiers[].description,,,
schemeLink,string,The URI that identifies where the identification scheme data is located.,organization.industryIdentifiers[].schemeLink,,,
agencyUri,string,The URI that identifies where the identification scheme is located.,organization.industryIdentifiers[].agencyUri,https://www.census.gov/naics/?58967?yearbck=2022,,
activityCode,string,"A code is a character string of letters, numbers, special characters (except escape sequences), and symbols. It represents a definitive value, a method, or a property description in an abbreviated or language-independent form that is part of a finite list",organization.organizationActivity[].activityCode[],,choose a code from the codes linked from this table of contents: https://www.census.gov/naics/?58967?yearbck=2022,
value,string,The text.,organization.organizationActivity[].description.value,,put the description from the code above here.,
languageCode,,The language of the text.,organization.organizationActivity[].description.languageCode,en-US,,
percentage,number,The percentage the entity spends on the activity.,organization.organizationActivity[].percentage,,,
tradeName,string,"The name a company uses for advertising and sales purposes, which may be different from its legal name.",organization.tradeName,,,
typeCode,string,"The type of address, for example, business or home.",organization.physicalAddresses[].typeCode,,,
line,string,Street line address,organization.physicalAddresses[].line,,,
countryCode,,Two letter country codes as defined by ISO 3166-1:2013. Content referenced from Wikipedia.,organization.physicalAddresses[].countryCode,US,,
type,string,"Specify purpose of this extension (state, province, etc).",organization.physicalAddresses[].countrySubDivisions[].type,state,,
value,string,Actual component value.,organization.physicalAddresses[].countrySubDivisions[].value,"SC, AR",,
city,string,,organization.physicalAddresses[].city,,,
postalCode,string,,organization.physicalAddresses[].postalCode,,,
postOfficeBox,string,,organization.physicalAddresses[].postOfficeBox,,,
latitude,number,The latitude of the geographical location.,organization.physicalAddresses[].geoLocation.latitude,,,
longitude,number,The longitude of the geographical location.,organization.physicalAddresses[].geoLocation.longitude,,,
value,number,The numeric value of the measure.,organization.physicalAddresses[].geoLocation.altitude.value,,,
unitCode,,The unit of measure.,organization.physicalAddresses[].geoLocation.altitude.unitCode,FOT,,
name,string,The label of the geo coordinates.,organization.physicalAddresses[].geoLocation.name,,,
formattedAddress,string,,organization.physicalAddresses[].formattedAddress,,,
