Name,Type,Description,Path,Code Set,Annotation,Keys
RefId,string,Reference Id for the root object.,worker.RefId,,,PK
senderId,string,Reference Id for the sender.,worker.senderId,,Leave blank,
receiverId,string,Reference Id for the receiver.,worker.receiverId,,Leave blank,
organizationRefId,string,Reference Id to the associated organization for the worker.,worker.organizationRefId,,,FK
podURL,string,URL of the POD (Privacy Obligation Document). ,worker.podURL,,,
value,string,The identifier.,worker.workerId.value,,,
schemeId,string,The identification of the identifier scheme.,worker.workerId.schemeId,,,
schemeVersionId,string,The identification of the version of the identifier scheme.,worker.workerId.schemeVersionId,,,
schemeAgencyId,string,The identification of the agency that manages the identifier scheme.,worker.workerId.schemeAgencyId,,,
description,string,The description of the identifier.,worker.workerId.description,,,
schemeLink,string,The URI that identifies where the identification scheme data is located.,worker.workerId.schemeLink,,,
agencyUri,string,The URI that identifies where the identification scheme is located.,worker.workerId.agencyUri,,,
value,string,The nine-digit number.,worker.ssn.value,,,
languageCode,,Can be used for any entity to specify localization language code.,worker.name.languageCode,en-US,,
firstName,string,The given name of a person.,worker.name.firstName,,,
middleName,string,The middle names or initials of a person.,worker.name.middleName,,,
family,string,The family name (or surname) of a person.,worker.name.family,,,
previousLastName,string,The former family name of a person (used if the person's name was changed).,worker.name.previousLastName,,,
typeCode,string,"The type of address, for example, business or home.",worker.physicalAddresses[].typeCode,,,
line,string,Street line address,worker.physicalAddresses[].line,,,
countryCode,,Two letter country codes as defined by ISO 3166-1:2013. Content referenced from Wikipedia.,worker.physicalAddresses[].countryCode,US,,
type,string,"Specify purpose of this extension (state, province, etc).",worker.physicalAddresses[].countrySubDivisions[].type,state,,
value,string,Actual component value.,worker.physicalAddresses[].countrySubDivisions[].value,,same as organization state,
city,string,,worker.physicalAddresses[].city,,,
postalCode,string,,worker.physicalAddresses[].postalCode,,,
postOfficeBox,string,,worker.physicalAddresses[].postOfficeBox,,,
latitude,number,The latitude of the geographical location.,worker.physicalAddresses[].geoLocation.latitude,,,
longitude,number,The longitude of the geographical location.,worker.physicalAddresses[].geoLocation.longitude,,,
value,number,The numeric value of the measure.,worker.physicalAddresses[].geoLocation.altitude.value,,,
unitCode,,The unit of measure.,worker.physicalAddresses[].geoLocation.altitude.unitCode,FOT,,
name,string,The label of the geo coordinates.,worker.physicalAddresses[].geoLocation.name,,,
formattedAddress,string,,worker.physicalAddresses[].formattedAddress,,,
birthDate,string,The birth date of a person.,worker.birthDate,,,
