Name,Type,Description,Path,Code Set,Annotation,Keys,
RefId,string,Reference Id to the root object.,worker_paid_hours_report.RefId,,,PK,
senderId,string,Reference Id for the sender.,worker_paid_hours_report.senderId,,Leave blank,,
receiverId,string,Reference Id for the receiver.,worker_paid_hours_report.receiverId,,Leave blank,,
workerRefId,string,Reference Id to the associated organization for the worker.,worker_paid_hours_report.workerRefId,,,FK,
podURL,string,URL of the POD (Privacy Obligation Document). ,worker_paid_hours_report.podURL,,,,
value,string,The identifier.,worker_paid_hours_report.workerId.value,,,,
schemeId,string,The identification of the identifier scheme.,worker_paid_hours_report.workerId.schemeId,,,,
schemeVersionId,string,The identification of the version of the identifier scheme.,worker_paid_hours_report.workerId.schemeVersionId,,,,
schemeAgencyId,string,The identification of the agency that manages the identifier scheme.,worker_paid_hours_report.workerId.schemeAgencyId,,,,
description,string,The description of the identifier.,worker_paid_hours_report.workerId.description,,,,
schemeLink,string,The URI that identifies where the identification scheme data is located.,worker_paid_hours_report.workerId.schemeLink,,,,
agencyUri,string,The URI that identifies where the identification scheme is located.,worker_paid_hours_report.workerId.agencyUri,,,,
validFrom,string,DateTime representation according ISO 8601 standard.,worker_paid_hours_report.reportingTimePeriod.validFrom,,a starting time,,
validTo,string,DateTime representation according ISO 8601 standard.,worker_paid_hours_report.reportingTimePeriod.validTo,,an ending time ,,
workedWeeks,number,"The number of weeks during which the worker earned, at a minimum, an amount of remuneration specified by the state based on time worked and paid leave taken.",worker_paid_hours_report.workedWeeks,,,,
totalHoursPaid,number,The total number of hours for which a worker received pay. Includes all actual work hours and hours of employer-paid leave that were used.,worker_paid_hours_report.totalHoursPaid,,,,
totalHoursWorked,number,"The total number of hours a worker was engaged in a paid work activity, including regular and premium hours (overtime, shift differential), rest periods and stand-by time. Includes work hours for which compensatory time off was earned. Does not include an",worker_paid_hours_report.totalHoursWorked,,,,
regularHoursWorked,number,The number of hours a worker was engaged in a regular paid work activity.,worker_paid_hours_report.regularHoursWorked,,,,
totalPremiumHours,number,"The number of premium hours a worker actually worked, including stand-by time, for which a premium rate of compensation was paid. Includes overtime and hours for which shift differentials were paid such as night, holiday or weekend work. Includes hours fo",worker_paid_hours_report.totalPremiumHours,,,,
totalPaidLeaveHours,number,"The total number of hours of employer-paid time used by a worker for any type of absence from work including vacation, sickness, bereavement, maternity, family care, jury duty, education, meals, military duty, administrative time off, sabbatical, or other",worker_paid_hours_report.totalPaidLeaveHours,,,,
