EdFiEntity,EdFiEntityPath,EdFiElementName,EdFiElementType,EdFiRequired,EdFiElementDescription,EdFiEntityDescription,CEDSElementName,CEDSElementType,CEDSElementDefinition,CEDSGlobalId,CEDSMappingNotes,CEDSMappingConfidence,CEDSDWTable,CEDSDWColumn,CEDSDWElementType,CEDSStagingTable,CEDSStagingColumn,CEDSStagingElementType,CEDSOntologyClassURI,CEDSOntologyClassLabel,CEDSOntologyConceptSchemeURI,CEDSOntologyConceptSchemeLabel,CEDSOntologyPropertyURI,CEDSOntologyPropertyLabel,CEDSOntologyPropertyNotation,CEDSOntologyPropertyRangeIncludes
AcademicHonor,AcademicHonorCategory,AcademicHonorCategoryDescriptor,Descriptor,0,A designation of the type of academic distinctions earned by or awarded to the individual.,,,,,,,,,,,,,,,,,,,,,
Assessment,AcademicSubject,AcademicSubjectDescriptor,Descriptor,0,"The description of the content or subject area (e.g., arts, mathematics, reading, stenography, or a foreign language) of an assessment.",,,,,,,,,,,,,,,,,,,,,
Assessment,MaxRawScore,MaxRawScore,Number,0,The maximum raw score achievable across all assessment items that are correct and scored at the maximum.,"This entity represents a tool, instrument, process, or exhibition composed of a systematic sampling of behavior for measuring a student's competence, knowledge, skills, or behavior. An assessment can be used to measure differences in individuals or groups and changes in performance from one occasion to the next.",,,,,,,,,,,,,,,,,,,,
AssessmentAdministration,AssessmentAdministrationPeriod.EndDate,EndDate,Date,0,"The month, day, and year for the end of the period. Note: Date interpretation may vary. Ed-Fi recommends inclusive dates, but states may define dates as inclusive or exclusive. For calculations, align with local guidelines.",The anticipated administration of an assessment under the purview of an education organization.,,,,,,,,,,,,,,,,,,,,
AssessmentPerformanceLevel,AssessmentReportingMethod,AssessmentReportingMethodDescriptor,Descriptor,0,"The method that the instructor of the class uses to report the performance and achievement of all students. It may be a qualitative method such as individualized teacher comments or a quantitative method such as a letter or numerical grade. In some cases, more than one type of reporting method may be used.",,,,,,,,,,,,,,,,,,,,,
BellSchedule,Date,Date,Date,0,The dates for which the bell schedule applies.,This entity represents the schedule of class period meeting times.,,,,,,,,,,,,,,,,,,,,
Candidate (TPDM),BirthData.BirthCity,BirthCity,String,0,The city the student was born in.,A candidate is both a person enrolled in a educator preparation program and a candidate to become an educator.,,,,,,,,,,,,,,,,,,,,
Candidate (TPDM),ElectronicMail.ElectronicMailAddress,ElectronicMailAddress,String,1,The electronic mail (e-mail) address listed for an individual or organization.,A candidate is both a person enrolled in a educator preparation program and a candidate to become an educator.,,,,,,,,,,,,,,,,,,,,
Candidate (TPDM),Name.MiddleName,MiddleName,String,0,"A secondary name given to an individual at birth, baptism, or during another naming ceremony.",A candidate is both a person enrolled in a educator preparation program and a candidate to become an educator.,,,,,,,,,,,,,,,,,,,,
CandidateEducatorPreparationProgramAssociation (TPDM),BeginDate,BeginDate,Date,1,"The begin date for the association. Note: Date interpretation may vary. Ed-Fi recommends inclusive dates, but states may define dates as inclusive or exclusive. For calculations, align with local guidelines.",Information about the association between the Teacher Candidate and the EducatorPreparationProgram,,,,,,,,,,,,,,,,,,,,
ClassPeriod,MeetingTime.StartTime,StartTime,Time,1,An indication of the time of day the meeting time begins.,This entity represents the designation of a regularly scheduled series of class meetings at designated times and days of the week.,,,,,,,,,,,,,,,,,,,,
CommunityOrganization,EducationOrganization.Address.CongressionalDistrict,CongressionalDistrict,String,0,The congressional district in which an address is located.,This entity represents an administrative unit at the state level which exists primarily to operate local community providers.,,,,,,,,,,,,,,,,,,,,
CommunityOrganization,EducationOrganization.ShortNameOfInstitution,ShortNameOfInstitution,String,0,A short name for the institution.,This entity represents an administrative unit at the state level which exists primarily to operate local community providers.,,,,,,,,,,,,,,,,,,,,
CommunityProvider,EducationOrganization.EducationOrganizationIndicator.DesignatedBy,DesignatedBy,String,0,"The person, organization, or department that defined the metric.",This entity represents an educational organization that includes staff and students who participate in classes and educational activity groups.,,,,,,,,,,,,,,,,,,,,
CommunityProvider,ProviderProfitability,ProviderProfitabilityDescriptor,Descriptor,0,Indicates the profitability status of the provider.,,,,,,,,,,,,,,,,,,,,,
CompetencyObjective,ObjectiveGradeLevel,GradeLevelDescriptor,Descriptor,0,The grade level for which the competency objective is targeted.,,,,,,,,,,,,,,,,,,,,,
Contact,Telephone.DoNotPublishIndicator,DoNotPublishIndicator,Boolean,0,An indication that the telephone number should not be published.,"This entity represents a contact of a student, such as a parent, guardian or caretaker.",,,,,,,,,,,,,,,,,,,,
Contact,HighestCompletedLevelOfEducation,LevelOfEducationDescriptor,Descriptor,0,"The extent of formal instruction an individual has received (e.g., the highest grade in school completed or its equivalent or the highest degree received).",,,,,,,,,,,,,,,,,,,,,
Contact,Telephone.TelephoneNumber,TelephoneNumber,String,1,"The telephone number including the area code, and extension, if applicable.","This entity represents a contact of a student, such as a parent, guardian or caretaker.",,,,,,,,,,,,,,,,,,,,
Course,DateCourseAdopted,DateCourseAdopted,Date,0,Date the course was adopted by the education agency.,This educational entity represents the organization of subject matter and related learning experiences provided for the instruction of students on a regular or systematic basis.,,,,,,,,,,,,,,,,,,,,
CourseTranscript,PartialCourseTranscriptAwards.AwardDate,AwardDate,Date,1,The date the partial credits and/or grades were awarded or earned.,This entity is the final record of a student's performance in their courses at the end of a semester or school year.,,,,,,,,,,,,,,,,,,,,
CourseTranscript,PartialCourseTranscriptAwards.LetterGradeEarned,LetterGradeEarned,String,0,The indicator of student performance as submitted by the instructor.,This entity is the final record of a student's performance in their courses at the end of a semester or school year.,,,,,,,,,,,,,,,,,,,,
