EdFiVersionNumber,EdFiNamespace,EdFiCodeValue,EdFiShortDescription,EdFiDescription,EdFiElementName,EdFiEntity,EdFiPath,EdFiDescription,CEDSElementName,CEDSGlobalId,CEDSOptionCode,CEDSOptionDescription,CEDSOptionDefinition,CEDSDataType,OptionSetMatchConfidence,ElementMatchConfidence,Notes
DS5.2,uri://ed-fi.org/AbsenceEventCategoryDescriptor,Bereavement,Bereavement,Bereavement,AbsenceEventCategoryDescriptor,StaffAbsenceEvent,AbsenceEventCategory,The code describing the type of absence.,,,,,,,,,
DS5.2,uri://ed-fi.org/AcademicSubjectDescriptor,Career and Technical Education,Career and Technical Education,Career and Technical Education,AcademicSubjectDescriptor,Assessment,AcademicSubject,"The description of the content or subject area (e.g., arts, mathematics, reading, stenography, or a foreign language) of an assessment.",,,,,,,,,
DS5.2,uri://ed-fi.org/AccountTypeDescriptor,Balance sheet,Balance sheet,Balance sheet,AccountTypeDescriptor,ChartOfAccount,AccountType,"The type of account used in accounting such as revenue, expenditure, or balance sheet.",,,,,,,,,
DS5.2,uri://ed-fi.org/AddressTypeDescriptor,Mailing,Mailing,Mailing,AddressTypeDescriptor,Address,AddressType,"The type of address listed for an individual or organization. For example: Physical Address, Mailing Address, Home Address, etc.)",,,,,,,,,
DS5.2,uri://tpdm.ed-fi.org/AidTypeDescriptor,Private Grants,Private Grants,Private Grants,AidTypeDescriptor,FinancialAid (TPDM),AidType,The classification of financial aid awarded to a person for the academic term/year.,,,,,,,,,
DS5.2,uri://ed-fi.org/AssessmentCategoryDescriptor,Interest inventory,Interest inventory,Interest inventory,AssessmentCategoryDescriptor,Assessment,AssessmentCategory,The category of an assessment based on format and content.,,,,,,,,,
DS5.2,uri://ed-fi.org/AssessmentItemCategoryDescriptor,Essay,Essay,Essay,AssessmentItemCategoryDescriptor,AssessmentItem,AssessmentItemCategory,Category or type of the assessment item.,,,,,,,,,
DS5.2,uri://ed-fi.org/AssessmentPeriodDescriptor,Spring,Spring,Spring,AssessmentPeriodDescriptor,AssessmentPeriod,AssessmentPeriod,"The period of time in which an assessment is supposed to be administered (e.g., Beginning of Year, Middle of Year, End of Year).",,,,,,,,,
DS5.2,uri://ed-fi.org/AssessmentReportingMethodDescriptor,Ranking,Ranking,Ranking,AssessmentReportingMethodDescriptor,AssessmentPerformanceLevel,AssessmentReportingMethod,"The method that the instructor of the class uses to report the performance and achievement of all students. It may be a qualitative method such as individualized teacher comments or a quantitative method such as a letter or numerical grade. In some cases, more than one type of reporting method may be used.",,,,,,,,,
DS5.2,uri://ed-fi.org/AttemptStatusDescriptor,Withdrawal by a parent (or guardian),DEPRECATED: Withdrawal by a parent (or guardian),DEPRECATED: Withdrawal by a parent (or guardian),AttemptStatusDescriptor,StudentSectionAssociation,AttemptStatus,An indication of the student's completion status for the section.,,,,,,,,,
DS5.2,uri://ed-fi.org/CTEProgramServiceDescriptor,Other,Other,Other,CTEProgramServiceDescriptor,CTEProgramService,CTEProgramService,Indicates the service being provided to the student by the CTE program.,,,,,,,,,
DS5.2,uri://ed-fi.org/CareerPathwayDescriptor,"Marketing, Sales and Service","Marketing, Sales and Service","Marketing, Sales and Service",CareerPathwayDescriptor,Course,CareerPathway,Indicates the career cluster or pathway the course is associated with as part of a CTE curriculum.,,,,,,,,,
DS5.2,uri://ed-fi.org/CitizenshipStatusDescriptor,Resident alien,Resident alien,Resident alien,CitizenshipStatusDescriptor,Citizenship,CitizenshipStatus,An indicator of whether or not the person is a U.S. citizen.,,,,,,,,,
DS5.2,uri://ed-fi.org/CountryDescriptor,AT,Austria,Austria,CountryDescriptor,BirthData,BirthCountry,The country in which an individual is born. It is strongly recommended that entries use only ISO 3166 2-letter country codes.,,,,,,,,,
DS5.2,uri://ed-fi.org/CountryDescriptor,CH,Switzerland,Switzerland,CountryDescriptor,BirthData,BirthCountry,The country in which an individual is born. It is strongly recommended that entries use only ISO 3166 2-letter country codes.,,,,,,,,,
DS5.2,uri://ed-fi.org/CountryDescriptor,FO,Faroe Islands,Faroe Islands,CountryDescriptor,BirthData,BirthCountry,The country in which an individual is born. It is strongly recommended that entries use only ISO 3166 2-letter country codes.,,,,,,,,,
DS5.2,uri://ed-fi.org/CountryDescriptor,IN,India,India,CountryDescriptor,BirthData,BirthCountry,The country in which an individual is born. It is strongly recommended that entries use only ISO 3166 2-letter country codes.,,,,,,,,,
DS5.2,uri://ed-fi.org/CountryDescriptor,LY,Libya,Libya,CountryDescriptor,BirthData,BirthCountry,The country in which an individual is born. It is strongly recommended that entries use only ISO 3166 2-letter country codes.,,,,,,,,,
DS5.2,uri://ed-fi.org/CountryDescriptor,NO,Norway,Norway,CountryDescriptor,BirthData,BirthCountry,The country in which an individual is born. It is strongly recommended that entries use only ISO 3166 2-letter country codes.,,,,,,,,,
DS5.2,uri://ed-fi.org/CountryDescriptor,SG,Singapore,Singapore,CountryDescriptor,BirthData,BirthCountry,The country in which an individual is born. It is strongly recommended that entries use only ISO 3166 2-letter country codes.,,,,,,,,,
DS5.2,uri://ed-fi.org/CountryDescriptor,TZ,"Tanzania, United Republic of","Tanzania, United Republic of",CountryDescriptor,BirthData,BirthCountry,The country in which an individual is born. It is strongly recommended that entries use only ISO 3166 2-letter country codes.,,,,,,,,,
DS5.2,uri://ed-fi.org/CourseIdentificationSystemDescriptor,NCES Pilot SNCCS course code,NCES Pilot SNCCS course code,NCES Pilot SNCCS course code,CourseIdentificationSystemDescriptor,CourseIdentificationCode,CourseIdentificationSystem,A system that is used to identify the organization of subject matter and related learning experiences provided for the instruction of students.,,,,,,,,,
DS5.2,uri://ed-fi.org/CourseRepeatCodeDescriptor,Repeat NotCounted,Repeat NotCounted,Repeat NotCounted,CourseRepeatCodeDescriptor,CourseTranscript,CourseRepeatCode,Indicates that an academic course has been repeated by a student and how that repeat is to be computed in the student's academic grade average.,,,,,,,,,
DS5.2,uri://ed-fi.org/CredentialTypeDescriptor,Licensure,Licensure,Licensure,CredentialTypeDescriptor,Credential,CredentialType,An indication of the category of credential an individual holds.,,,,,,,,,
DS5.2,uri://ed-fi.org/CrisisTypeDescriptor,Earthquake,Earthquake,Earthquake,CrisisTypeDescriptor,CrisisEvent,CrisisType,The type or category of crisis.,,,,,,,,,
DS5.2,uri://ed-fi.org/DiplomaLevelDescriptor,Magna cum laude,Magna cum laude,Magna cum laude,DiplomaLevelDescriptor,Diploma,DiplomaLevel,The level of diploma/credential that is awarded to a student in recognition of completion of the curricular requirements.,,,,,,,,,
DS5.2,uri://ed-fi.org/DisabilityDescriptor,Multiple Disabilities,Multiple Disabilities,Multiple disabilities,DisabilityDescriptor,Disability,Disability,A disability category that describes a individual's impairment.,,,,,,,,,
DS5.2,uri://ed-fi.org/DisciplineActionLengthDifferenceReasonDescriptor,Term Modified By Mutual Agreement,Term Modified By Mutual Agreement,Term Modified By Mutual Agreement,DisciplineActionLengthDifferenceReasonDescriptor,DisciplineAction,DisciplineActionLengthDifferenceReason,"Indicates the reason for the difference, if any, between the official and actual lengths of a student's disciplinary assignment.",,,,,,,,,
DS5.2,uri://ed-fi.org/EducationOrganizationCategoryDescriptor,State Education Agency,State Education Agency,State Education Agency,EducationOrganizationCategoryDescriptor,EducationOrganization,EducationOrganizationCategory,The classification of the education agency within the geographic boundaries of a state according to the level of administrative and operational control granted by the state.,,,,,,,,,
DS5.2,uri://ed-fi.org/EducationalEnvironmentDescriptor,Off-school center,Off-school center,Off-school center,EducationalEnvironmentDescriptor,AttendanceEvent,EducationalEnvironment,The setting in which a child receives education and related services. This attribute is only used if it differs from the EducationalEnvironment of the Section. This is only used in the AttendanceEvent if different from the associated Section.,,,,,,,,,
DS5.2,uri://ed-fi.org/EligibilityDelayReasonDescriptor,Lack of Available Assessment Personnel,Lack of Available Assessment Personnel,LEA delay due to lack of available assessment personnel.,EligibilityDelayReasonDescriptor,StudentSpecialEducationProgramEligibilityAssociation,EligibilityDelayReason,The reason why the eligibility determination was completed beyond the required timeframe.,,,,,,,,,
DS5.2,uri://ed-fi.org/EntryGradeLevelReasonDescriptor,Promotion - Continuous promotion,Promotion - Continuous promotion,Promotion - Continuous promotion,EntryGradeLevelReasonDescriptor,StudentSchoolAssociation,EntryGradeLevelReason,The primary reason as to why a staff member determined that a student should be promoted or not (or be demoted) at the end of a given school term.,,,,,,,,,
DS5.2,uri://ed-fi.org/EventCircumstanceDescriptor,Administration or system failure,Administration or system failure,Administration or system failure,EventCircumstanceDescriptor,StudentAssessment,EventCircumstance,"An unusual event occurred during the administration of the assessment. This could include fire alarm, student became ill, etc.",,,,,,,,,
DS5.2,uri://ed-fi.org/EventCircumstanceDescriptor,Truancy - paperwork filed,Truancy - paperwork filed,Truancy - paperwork filed,EventCircumstanceDescriptor,StudentAssessment,EventCircumstance,"An unusual event occurred during the administration of the assessment. This could include fire alarm, student became ill, etc.",,,,,,,,,
DS5.2,uri://tpdm.ed-fi.org/GradeLevelDescriptor,Junior,Junior,Junior,GradeLevelDescriptor,Assessment,AssessedGradeLevels,The grade level(s) for which an assessment is designed. The semantics of null is assumed to mean that the assessment is not associated with any grade level.,,,,,,,,,
DS5.2,uri://ed-fi.org/GradeTypeDescriptor,Progress Report,Progress Report,Progress Report,GradeTypeDescriptor,Grade,GradeType,"The type of grade reported (e.g., exam, final, grading period).",,,,,,,,,
DS5.2,uri://ed-fi.org/HomelessPrimaryNighttimeResidenceDescriptor,Doubled-up,Doubled-up,Doubled-up,HomelessPrimaryNighttimeResidenceDescriptor,StudentHomelessProgramAssociation,HomelessPrimaryNighttimeResidence,The primary nighttime residence of the student at the time the student is identified as homeless.,,,,,,,,,
DS5.2,uri://ed-fi.org/IncidentLocationDescriptor,Cafeteria area,Cafeteria area,Cafeteria area,IncidentLocationDescriptor,DisciplineIncident,IncidentLocation,Identifies where the discipline incident occurred and whether or not it occurred on school.,,,,,,,,,
DS5.2,uri://tpdm.ed-fi.org/IndicatorDescriptor,Students Enrolled,Number of students enrolled,The number of students enrolled in the education organization,IndicatorDescriptor,EducationOrganizationIndicator,Indicator,The name or code for the indicator or metric.,,,,,,,,,
DS5.2,uri://ed-fi.org/InternetAccessTypeInResidenceDescriptor,Satellite,Satellite,The type of internet service used in the student?s primary place of residence is satellite.,InternetAccessTypeInResidenceDescriptor,StudentEducationOrganizationAssociation,InternetAccessTypeInResidence,The primary type of internet service used in the student?s primary place of residence.,,,,,,,,,
DS5.2,uri://ed-fi.org/LanguageDescriptor,art,Artificial languages,Artificial languages,LanguageDescriptor,Assessment,Language,An indication of the languages in which the assessment is designed.,,,,,,,,,
DS5.2,uri://ed-fi.org/LanguageDescriptor,bnt,Bantu languages,Bantu languages,LanguageDescriptor,Assessment,Language,An indication of the languages in which the assessment is designed.,,,,,,,,,
DS5.2,uri://ed-fi.org/LanguageDescriptor,cmc,Chamic languages,Chamic languages,LanguageDescriptor,Assessment,Language,An indication of the languages in which the assessment is designed.,,,,,,,,,
DS5.2,uri://ed-fi.org/LanguageDescriptor,egy,Egyptian (Ancient),Egyptian (Ancient),LanguageDescriptor,Assessment,Language,An indication of the languages in which the assessment is designed.,,,,,,,,,
DS5.2,uri://ed-fi.org/LanguageDescriptor,gez,Geez,Geez,LanguageDescriptor,Assessment,Language,An indication of the languages in which the assessment is designed.,,,,,,,,,
DS5.2,uri://ed-fi.org/LanguageDescriptor,hsb,Upper Sorbian,Upper Sorbian,LanguageDescriptor,Assessment,Language,An indication of the languages in which the assessment is designed.,,,,,,,,,
DS5.2,uri://ed-fi.org/LanguageDescriptor,kan,Kannada,Kannada,LanguageDescriptor,Assessment,Language,An indication of the languages in which the assessment is designed.,,,,,,,,,
DS5.2,uri://ed-fi.org/LanguageDescriptor,lam,Lamba,Lamba,LanguageDescriptor,Assessment,Language,An indication of the languages in which the assessment is designed.,,,,,,,,,
DS5.2,uri://ed-fi.org/LanguageDescriptor,mdf,Moksha,Moksha,LanguageDescriptor,Assessment,Language,An indication of the languages in which the assessment is designed.,,,,,,,,,
DS5.2,uri://ed-fi.org/LanguageDescriptor,nds,Low German,Low German,LanguageDescriptor,Assessment,Language,An indication of the languages in which the assessment is designed.,,,,,,,,,
DS5.2,uri://ed-fi.org/LanguageDescriptor,pam,Pampanga,Pampanga,LanguageDescriptor,Assessment,Language,An indication of the languages in which the assessment is designed.,,,,,,,,,
DS5.2,uri://ed-fi.org/LanguageDescriptor,sam,Samaritan Aramaic,Samaritan Aramaic,LanguageDescriptor,Assessment,Language,An indication of the languages in which the assessment is designed.,,,,,,,,,
DS5.2,uri://ed-fi.org/LanguageDescriptor,sot,"Sotho, Southern","Sotho, Southern",LanguageDescriptor,Assessment,Language,An indication of the languages in which the assessment is designed.,,,,,,,,,
DS5.2,uri://ed-fi.org/LanguageDescriptor,tkl,Tokelau,Tokelau,LanguageDescriptor,Assessment,Language,An indication of the languages in which the assessment is designed.,,,,,,,,,
DS5.2,uri://ed-fi.org/LanguageDescriptor,wak,Wakashan languages,Wakashan languages,LanguageDescriptor,Assessment,Language,An indication of the languages in which the assessment is designed.,,,,,,,,,
DS5.2,uri://ed-fi.org/LanguageInstructionProgramServiceDescriptor,Missing,Missing,Missing,LanguageInstructionProgramServiceDescriptor,LanguageInstructionProgramService,LanguageInstructionProgramService,Indicates the service being provided to the student by the language instruction program.,,,,,,,,,
DS5.2,uri://ed-fi.org/LevelOfEducationDescriptor,Associate's Degree (two years or more),Associate's Degree (two years or more),Associate's Degree (two years or more),LevelOfEducationDescriptor,Contact,HighestCompletedLevelOfEducation,"The extent of formal instruction an individual has received (e.g., the highest grade in school completed or its equivalent or the highest degree received).",,,,,,,,,
DS5.2,uri://ed-fi.org/LocaleDescriptor,Suburban-Large,Suburban-Large,Suburban-Large,LocaleDescriptor,Address,Locale,"A general geographic indicator that categorizes U.S. territory (e.g., City, Suburban).",,,,,,,,,
DS5.2,uri://ed-fi.org/NeglectedOrDelinquentProgramDescriptor,Juvenile Corrections,Juvenile Corrections,Juvenile Corrections,NeglectedOrDelinquentProgramDescriptor,StudentNeglectedOrDelinquentProgramAssociation,NeglectedOrDelinquentProgram,"The type of program under ESEA Title I, Part D, Subpart 1 (state programs) or Subpart 2 (LEA).",,,,,,,,,
DS5.2,uri://ed-fi.org/PersonalInformationVerificationDescriptor,Hospital certificate,Hospital certificate,Hospital certificate,PersonalInformationVerificationDescriptor,IdentificationDocument,PersonalInformationVerification,The category of the document relative to its purpose.,,,,,,,,,
DS5.2,uri://ed-fi.org/PrimaryLearningDeviceAwayFromSchoolDescriptor,Other,Other,The type of device the student uses most often to complete learning activities away from school is not yet defined.,PrimaryLearningDeviceAwayFromSchoolDescriptor,StudentEducationOrganizationAssociation,PrimaryLearningDeviceAwayFromSchool,The type of device the student uses most often to complete learning activities away from school.,,,,,,,,,
DS5.2,uri://ed-fi.org/ProgramTypeDescriptor,Compensatory Services for Disadvantaged Students,Compensatory Services for Disadvantaged Students,Compensatory Services for Disadvantaged Students,ProgramTypeDescriptor,EducatorPreparationProgram (TPDM),ProgramType,The type of program.,,,,,,,,,
DS5.2,uri://ed-fi.org/ProgramTypeDescriptor,Other,Other,Other,ProgramTypeDescriptor,EducatorPreparationProgram (TPDM),ProgramType,The type of program.,,,,,,,,,
DS5.2,uri://ed-fi.org/ProviderCategoryDescriptor,Center-EC,DEPRECATED: Center-EC,DEPRECATED: Center-EC,ProviderCategoryDescriptor,CommunityProvider,ProviderCategory,Indicates the category of the provider.,,,,,,,,,
DS5.2,uri://ed-fi.org/RaceDescriptor,American Indian or Alaska Native,American Indian or Alaska Native,American Indian or Alaska Native,RaceDescriptor,Candidate (TPDM),Race,The general racial category which most clearly reflects the individual's recognition of his or her community or with which the individual most identifies. The data model allows for multiple entries so that each individual can specify all appropriate races.,,,,,,,,,
DS5.2,uri://ed-fi.org/ReasonNotTestedDescriptor,Not appropriate (ARD decision),Not appropriate (ARD decision),Not appropriate (ARD decision),ReasonNotTestedDescriptor,StudentAssessment,ReasonNotTested,The primary reason student is not tested.,,,,,,,,,
DS5.2,uri://ed-fi.org/RelationDescriptor,FathersCivilPartner,FathersCivilPartner,FathersCivilPartner,RelationDescriptor,StudentContactAssociation,Relation,"The nature of an individual's relationship to a student, primarily used to capture family relationships.",,,,,,,,,
DS5.2,uri://ed-fi.org/RelationDescriptor,Son,Son,Son,RelationDescriptor,StudentContactAssociation,Relation,"The nature of an individual's relationship to a student, primarily used to capture family relationships.",,,,,,,,,
DS5.2,uri://ed-fi.org/ResponsibilityDescriptor,Attendance,Attendance,Attendance,ResponsibilityDescriptor,StudentEducationOrganizationResponsibilityAssociation,Responsibility,"Indications of an education organization's responsibility for a student, such as accountability, attendance, funding, etc.",,,,,,,,,
DS5.2,uri://ed-fi.org/SchoolCategoryDescriptor,Secondary School,Secondary School,Secondary School,SchoolCategoryDescriptor,School,SchoolCategory,The one or more categories of school.,,,,,,,,,
DS5.2,uri://ed-fi.org/SeparationReasonDescriptor,Discharge,Discharge,Discharge,SeparationReasonDescriptor,EmploymentPeriod,SeparationReason,Reason for terminating the employment.,,,,,,,,,
DS5.2,uri://ed-fi.org/SourceSystemDescriptor,School,School,School,SourceSystemDescriptor,Person,SourceSystem,This descriptor defines the originating record source system for the person.,,,,,,,,,
DS5.2,uri://ed-fi.org/SpecialEducationSettingDescriptor,Regular early childhood program (10+ hrs),Regular early childhood program (10+ hrs),Services in regular early childhood program (at least 10 hours),SpecialEducationSettingDescriptor,StudentSpecialEducationProgramAssociation,SpecialEducationSetting,The major instructional setting (more than 50 percent of a student's special education program).,,,,,,,,,
DS5.2,uri://ed-fi.org/StaffClassificationDescriptor,School Leader,DEPRECATED: School Leader,DEPRECATED: School Leader,StaffClassificationDescriptor,OpenStaffPosition,StaffClassification,"The titles of employment, official status, or rank of education staff.",,,,,,,,,
DS5.2,uri://ed-fi.org/StaffLeaveEventCategoryDescriptor,Family and medical leave,Family and medical leave,Family and medical leave,StaffLeaveEventCategoryDescriptor,StaffLeave,StaffLeaveEventCategory,The code describing the type of leave taken.,,,,,,,,,
DS5.2,uri://ed-fi.org/StateAbbreviationDescriptor,HI,HI,HI,StateAbbreviationDescriptor,Address,StateAbbreviation,The abbreviation for the state (within the United States) or outlying area in which an address is located.,,,,,,,,,
DS5.2,uri://ed-fi.org/StateAbbreviationDescriptor,PW,PW,PW,StateAbbreviationDescriptor,Address,StateAbbreviation,The abbreviation for the state (within the United States) or outlying area in which an address is located.,,,,,,,,,
DS5.2,uri://ed-fi.org/SupporterMilitaryConnectionDescriptor,Veteran,Student is a dependent of a discharged military personnel or a retiree,Student is a dependent of a person who has served in the US military and become discharged or released or got retired after completing required amount of years of military services,SupporterMilitaryConnectionDescriptor,StudentEducationOrganizationAssociation,SupporterMilitaryConnection,Military connection of the person/people whom the student is a dependent of.,,,,,,,,,
DS5.2,uri://ed-fi.org/TelephoneNumberTypeDescriptor,Work,Work,Work,TelephoneNumberTypeDescriptor,Telephone,TelephoneNumberType,The type of communication number listed for an individual or organization.,,,,,,,,,
DS5.2,uri://ed-fi.org/TitleIPartASchoolDesignationDescriptor,Missing,Missing,Missing,TitleIPartASchoolDesignationDescriptor,School,TitleIPartASchoolDesignation,Denotes the Title I Part A designation for the school.,,,,,,,,,
DS5.2,uri://ed-fi.org/TribalAffiliationDescriptor,Aleknagik,Aleknagik,Native Village of Aleknagik,TribalAffiliationDescriptor,Staff,TribalAffiliation,An American Indian tribe with which the staff member is affiliated.,,,,,,,,,
DS5.2,uri://ed-fi.org/TribalAffiliationDescriptor,Big Pine,Big Pine,Big Pine Paiute Tribe of the Owens Valley,TribalAffiliationDescriptor,Staff,TribalAffiliation,An American Indian tribe with which the staff member is affiliated.,,,,,,,,,
DS5.2,uri://ed-fi.org/TribalAffiliationDescriptor,Chemehuevi,Chemehuevi,"Chemehuevi Indian Tribe of the Chemehuevi Reservation, California",TribalAffiliationDescriptor,Staff,TribalAffiliation,An American Indian tribe with which the staff member is affiliated.,,,,,,,,,
DS5.2,uri://ed-fi.org/TribalAffiliationDescriptor,Coeur D'Alene,Coeur D'Alene,Coeur D'Alene Tribe,TribalAffiliationDescriptor,Staff,TribalAffiliation,An American Indian tribe with which the staff member is affiliated.,,,,,,,,,
DS5.2,uri://ed-fi.org/TribalAffiliationDescriptor,Eastern Shawnee,Eastern Shawnee,Eastern Shawnee Tribe of Oklahoma,TribalAffiliationDescriptor,Staff,TribalAffiliation,An American Indian tribe with which the staff member is affiliated.,,,,,,,,,
DS5.2,uri://ed-fi.org/TribalAffiliationDescriptor,Georgetown,Georgetown,Native Village of Georgetown,TribalAffiliationDescriptor,Staff,TribalAffiliation,An American Indian tribe with which the staff member is affiliated.,,,,,,,,,
DS5.2,uri://ed-fi.org/TribalAffiliationDescriptor,Iliamna,Iliamna,Village of Iliamna,TribalAffiliationDescriptor,Staff,TribalAffiliation,An American Indian tribe with which the staff member is affiliated.,,,,,,,,,
