EdFiVersionNumber,EdFiNamespace,EdFiCodeValue,EdFiShortDescription,EdFiDescription,EdFiElementName,EdFiEntity,EdFiPath,EdFiDescription,CEDSElementName,CEDSGlobalId,CEDSOptionCode,CEDSOptionDescription,CEDSOptionDefinition,CEDSDataType,OptionSetMatchConfidence,ElementMatchConfidence,Notes
DS5.2,uri://ed-fi.org/AbsenceEventCategoryDescriptor,Bereavement,Bereavement,Bereavement,AbsenceEventCategoryDescriptor,StaffAbsenceEvent,AbsenceEventCategory,The code describing the type of absence.,Leave Event Type,000624,Bereavement,Bereavement,Bereavement is the  type of leave event for staff.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AbsenceEventCategoryDescriptor,Compensatory leave time,Compensatory leave time,Compensatory leave time,AbsenceEventCategoryDescriptor,StaffAbsenceEvent,AbsenceEventCategory,The code describing the type of absence.,Leave Event Type,000624,CompensatoryLeaveTime,Compensatory leave time,Compensatory leave time is the  type of leave event for staff.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AbsenceEventCategoryDescriptor,Flex time,Flex time,Flex time,AbsenceEventCategoryDescriptor,StaffAbsenceEvent,AbsenceEventCategory,The code describing the type of absence.,Leave Event Type,000624,FlexTime,Flex time,Flex time is the  type of leave event for staff.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AbsenceEventCategoryDescriptor,Jury duty,Jury duty,Jury duty,AbsenceEventCategoryDescriptor,StaffAbsenceEvent,AbsenceEventCategory,The code describing the type of absence.,Leave Event Type,000624,JuryDuty,Jury Duty,Jury Duty is the  type of leave event for staff.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AbsenceEventCategoryDescriptor,Other,Other,Other,AbsenceEventCategoryDescriptor,StaffAbsenceEvent,AbsenceEventCategory,The code describing the type of absence.,Leave Event Type,000624,Other,Other,Other is the  type of leave event for staff.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AbsenceEventCategoryDescriptor,Personal,Personal,Personal,AbsenceEventCategoryDescriptor,StaffAbsenceEvent,AbsenceEventCategory,The code describing the type of absence.,Leave Event Type,000624,Personal,Personal,Personal is the  type of leave event for staff.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AbsenceEventCategoryDescriptor,Professional development,Professional development,Professional development,AbsenceEventCategoryDescriptor,StaffAbsenceEvent,AbsenceEventCategory,The code describing the type of absence.,Leave Event Type,000624,ProfessionalDevelopment,Professional development,Professional development is the  type of leave event for staff.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AbsenceEventCategoryDescriptor,Release time,Release time,Release time,AbsenceEventCategoryDescriptor,StaffAbsenceEvent,AbsenceEventCategory,The code describing the type of absence.,Leave Event Type,000624,ReleaseTime,Release time,Release time is the  type of leave event for staff.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AbsenceEventCategoryDescriptor,Sick leave,Sick leave,Sick leave,AbsenceEventCategoryDescriptor,StaffAbsenceEvent,AbsenceEventCategory,The code describing the type of absence.,Leave Event Type,000624,SickLeave,Sick leave,Sick leave is the  type of leave event for staff.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AbsenceEventCategoryDescriptor,Suspension,Suspension,Suspension,AbsenceEventCategoryDescriptor,StaffAbsenceEvent,AbsenceEventCategory,The code describing the type of absence.,Leave Event Type,000624,Suspension,Suspension,Suspension is the  type of leave event for staff.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AbsenceEventCategoryDescriptor,Vacation,Vacation,Vacation,AbsenceEventCategoryDescriptor,StaffAbsenceEvent,AbsenceEventCategory,The code describing the type of absence.,Leave Event Type,000624,AnnualLeave,Annual leave,Annual leave is the  type of leave event for staff.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AbsenceEventCategoryDescriptor,Work compensation,Work compensation,Work compensation,AbsenceEventCategoryDescriptor,StaffAbsenceEvent,AbsenceEventCategory,The code describing the type of absence.,Leave Event Type,000624,WorkersCompensation,Workers compensation,Workers compensation is the  type of leave event for staff.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Attendance award,Attendance award,Attendance award,AcademicHonorCategoryDescriptor,AcademicHonor,AcademicHonorCategory,A designation of the type of academic distinctions earned by or awarded to the individual.,Academic Honors Type,000004,08692,Attendance award,Attendance award is specified as the type of academic distinctions earned by or awarded to the student.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Awarding of units of value,Awarding of units of value,Awarding of units of value,AcademicHonorCategoryDescriptor,AcademicHonor,AcademicHonorCategory,A designation of the type of academic distinctions earned by or awarded to the individual.,Academic Honors Type,000004,00738,Awarding of units of value,Awarding of units of value is specified as the type of academic distinctions earned by or awarded to the student.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Certificate,Certificate,Certificate,AcademicHonorCategoryDescriptor,AcademicHonor,AcademicHonorCategory,A designation of the type of academic distinctions earned by or awarded to the individual.,Academic Honors Type,000004,00742,Certificate,Certificate is specified as the type of academic distinctions earned by or awarded to the student.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Citizenship award/recognition,Citizenship award/recognition,Citizenship award/recognition,AcademicHonorCategoryDescriptor,AcademicHonor,AcademicHonorCategory,A designation of the type of academic distinctions earned by or awarded to the individual.,Academic Honors Type,000004,00740,Citizenship award/recognition,Citizenship award/recognition is specified as the type of academic distinctions earned by or awarded to the student.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicHonorCategoryDescriptor,"Completion of requirement, but no units awarded","Completion of requirement, but no units of value awarded","Completion of requirement, but no units of value awarded",AcademicHonorCategoryDescriptor,AcademicHonor,AcademicHonorCategory,A designation of the type of academic distinctions earned by or awarded to the individual.,Academic Honors Type,000004,00741,"Completion of requirement, but no units of value awarded","Completion of requirement, but no units of value awarded is specified as the type of academic distinctions earned by or awarded to the student.",Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Honor award,Honor award,Honor award,AcademicHonorCategoryDescriptor,AcademicHonor,AcademicHonorCategory,A designation of the type of academic distinctions earned by or awarded to the individual.,Academic Honors Type,000004,02047,Honor award,Honor award is specified as the type of academic distinctions earned by or awarded to the student.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Honor roll,Honor roll,Honor roll,AcademicHonorCategoryDescriptor,AcademicHonor,AcademicHonorCategory,A designation of the type of academic distinctions earned by or awarded to the individual.,Academic Honors Type,000004,01985,Honor roll,Honor roll is specified as the type of academic distinctions earned by or awarded to the student.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Honor society,Honor society,Honor society,AcademicHonorCategoryDescriptor,AcademicHonor,AcademicHonorCategory,A designation of the type of academic distinctions earned by or awarded to the individual.,Academic Honors Type,000004,01986,Honor society,Honor society is specified as the type of academic distinctions earned by or awarded to the student.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Honorable mention,Honorable mention,Honorable mention,AcademicHonorCategoryDescriptor,AcademicHonor,AcademicHonorCategory,A designation of the type of academic distinctions earned by or awarded to the individual.,Academic Honors Type,000004,01987,Honorable mention,Honorable mention is specified as the type of academic distinctions earned by or awarded to the student.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Honors program,Honors program,Honors program,AcademicHonorCategoryDescriptor,AcademicHonor,AcademicHonorCategory,A designation of the type of academic distinctions earned by or awarded to the individual.,Academic Honors Type,000004,01988,Honors program,Honors program is specified as the type of academic distinctions earned by or awarded to the student.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Letter of student commendation,Letter of student commendation,Letter of student commendation,AcademicHonorCategoryDescriptor,AcademicHonor,AcademicHonorCategory,A designation of the type of academic distinctions earned by or awarded to the individual.,Academic Honors Type,000004,00744,Letter of student commendation,Letter of student commendation is specified as the type of academic distinctions earned by or awarded to the student.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Medals,Medals,Medals,AcademicHonorCategoryDescriptor,AcademicHonor,AcademicHonorCategory,A designation of the type of academic distinctions earned by or awarded to the individual.,Academic Honors Type,000004,00745,Medals,Medals is specified as the type of academic distinctions earned by or awarded to the student.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicHonorCategoryDescriptor,National Merit Scholar,National Merit Scholar,National Merit Scholar,AcademicHonorCategoryDescriptor,AcademicHonor,AcademicHonorCategory,A designation of the type of academic distinctions earned by or awarded to the individual.,Academic Honors Type,000004,08693,National Merit scholar,National Merit scholar is specified as the type of academic distinctions earned by or awarded to the student.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Other,Other,Other,AcademicHonorCategoryDescriptor,AcademicHonor,AcademicHonorCategory,A designation of the type of academic distinctions earned by or awarded to the individual.,Academic Honors Type,000004,09999,Other,Other is specified as the type of academic distinctions earned by or awarded to the student.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Points,Points,Points,AcademicHonorCategoryDescriptor,AcademicHonor,AcademicHonorCategory,A designation of the type of academic distinctions earned by or awarded to the individual.,Academic Honors Type,000004,00747,Points,Points is specified as the type of academic distinctions earned by or awarded to the student.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Prize awards,Prize awards,Prize awards,AcademicHonorCategoryDescriptor,AcademicHonor,AcademicHonorCategory,A designation of the type of academic distinctions earned by or awarded to the individual.,Academic Honors Type,000004,01989,Prize awards,Prize awards is specified as the type of academic distinctions earned by or awarded to the student.,Option Set,Yes,Yes,
DS5.2,uri://ed-fi.org/AcademicHonorCategoryDescriptor,Promotion or advancement,Promotion or advancement,Promotion or advancement,AcademicHonorCategoryDescriptor,AcademicHonor,AcademicHonorCategory,A designation of the type of academic distinctions earned by or awarded to the individual.,Academic Honors Type,000004,00748,Promotion or advancement,Promotion or advancement is specified as the type of academic distinctions earned by or awarded to the student.,Option Set,Yes,Yes,
